"Country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered"
"SanMarino",2020-03-01,6,1,1,1,1,0,0
"Singapore",2020-03-01,6,106,17,0,0,72,21
"Spain",2020-03-01,6,84,82,0,0,2,0
"SriLanka",2020-03-01,6,1,0,0,0,1,0
"Sweden",2020-03-01,6,14,13,0,0,0,0
"Switzerland",2020-03-01,6,27,27,0,0,0,0
"Taiwan",2020-03-01,6,40,12,1,0,9,7
"Thailand",2020-03-01,6,42,7,1,1,30,9
"UnitedArabEmirates",2020-03-01,6,21,8,0,0,5,1
"UnitedKingdom",2020-03-01,6,94,66,0,0,8,0
"US",2020-03-01,6,32,16,1,1,7,2
"Vietnam",2020-03-01,6,16,0,0,0,16,2
"Afghanistan",2020-03-08,7,8,3,0,0,0,0
"Algeria",2020-03-08,7,19,18,0,0,0,0
"Andorra",2020-03-08,7,1,1,0,0,0,0
"Argentina",2020-03-08,7,12,12,1,1,0,0
"Armenia",2020-03-08,7,1,0,0,0,0,0
"Australia",2020-03-08,7,76,49,3,2,21,10
"Austria",2020-03-08,7,104,90,0,0,0,0
"Azerbaijan",2020-03-08,7,9,6,0,0,0,0
"Bahrain",2020-03-08,7,85,38,0,0,4,4
"Bangladesh",2020-03-08,7,3,3,0,0,0,0
"Belarus",2020-03-08,7,6,5,0,0,0,0
"Belgium",2020-03-08,7,200,198,0,0,1,0
"Bhutan",2020-03-08,7,1,1,0,0,0,0
"BosniaandHerzegovina",2020-03-08,7,3,3,0,0,0,0
"Brazil",2020-03-08,7,20,18,0,0,0,0
"Bulgaria",2020-03-08,7,4,4,0,0,0,0
"Cambodia",2020-03-08,7,2,1,0,0,1,0
"Cameroon",2020-03-08,7,2,2,0,0,0,0
"Canada",2020-03-08,7,74,48,0,0,8,2
"Chile",2020-03-08,7,20,11,0,0,0,0
"China",2020-03-08,7,80699,873,3097,227,57320,15202
"Colombia",2020-03-08,7,1,1,0,0,0,0
"CostaRica",2020-03-08,7,5,5,0,0,0,0
"Croatia",2020-03-08,7,12,5,0,0,0,0
"Czechia",2020-03-08,7,31,28,0,0,0,0
"Denmark",2020-03-08,7,37,33,0,0,1,1
"DiamondPrincess",2020-03-08,7,706,1,6,0,40,30
"DominicanRepublic",2020-03-08,7,5,4,0,0,0,0
"Ecuador",2020-03-08,7,14,8,0,0,0,0
"Egypt",2020-03-08,7,49,47,1,1,1,0
"Estonia",2020-03-08,7,10,9,0,0,0,0
"Finland",2020-03-08,7,23,17,0,0,1,0
"France",2020-03-08,7,1125,995,19,17,12,0
"Georgia",2020-03-08,7,13,10,0,0,0,0
"Germany",2020-03-08,7,1040,910,0,0,18,2
"Greece",2020-03-08,7,73,66,0,0,0,0
"HolySee",2020-03-08,7,1,1,0,0,0,0
"HongKong",2020-03-08,7,114,18,3,1,58,22
"Hungary",2020-03-08,7,7,7,0,0,0,0
"Iceland",2020-03-08,7,50,47,0,0,0,0
"India",2020-03-08,7,39,36,0,0,3,0
"Indonesia",2020-03-08,7,6,6,0,0,0,0
"Iran",2020-03-08,7,6566,5588,194,140,2134,1959
"Iraq",2020-03-08,7,60,41,6,6,0,0
"Ireland",2020-03-08,7,19,18,0,0,0,0
"Israel",2020-03-08,7,56,49,0,0,0,0
"Italy",2020-03-08,7,7375,5681,366,332,622,539
"Japan",2020-03-08,7,499,240,8,2,76,44
"Jordan",2020-03-08,7,1,1,0,0,0,0
"Kuwait",2020-03-08,7,64,19,0,0,1,1
"Latvia",2020-03-08,7,2,2,0,0,0,0
"Lebanon",2020-03-08,7,32,22,0,0,1,1
"Liechtenstein",2020-03-08,7,1,1,0,0,0,0
"Lithuania",2020-03-08,7,1,0,0,0,0,0
"Luxembourg",2020-03-08,7,3,2,0,0,0,0
"Macao",2020-03-08,7,10,0,0,0,10,2
"Malaysia",2020-03-08,7,99,70,0,0,25,3
"Maldives",2020-03-08,7,4,4,0,0,0,0
"Malta",2020-03-08,7,3,3,0,0,0,0
"Mexico",2020-03-08,7,7,2,0,0,1,1
"Moldova",2020-03-08,7,1,1,0,0,0,0
"Monaco",2020-03-08,7,1,0,0,0,0,0
"Morocco",2020-03-08,7,2,2,0,0,0,0
"Nepal",2020-03-08,7,1,0,0,0,1,0
"Netherlands",2020-03-08,7,265,255,3,3,0,0
"NewZealand",2020-03-08,7,5,4,0,0,0,0
"Nigeria",2020-03-08,7,1,0,0,0,0,0
"NorthMacedonia",2020-03-08,7,3,2,0,0,0,0
"Norway",2020-03-08,7,176,157,0,0,0,0
"Oman",2020-03-08,7,16,10,0,0,2,1
"Pakistan",2020-03-08,7,6,2,0,0,1,1
"Paraguay",2020-03-08,7,1,1,0,0,0,0
"Peru",2020-03-08,7,6,6,2,2,0,0
"Philippines",2020-03-08,7,10,7,1,0,1,0
"Poland",2020-03-08,7,11,11,0,0,0,0
"Portugal",2020-03-08,7,30,30,0,0,0,0
"Qatar",2020-03-08,7,15,12,0,0,0,0
"RepublicofKorea",2020-03-08,7,7314,3578,50,33,118,88
"Romania",2020-03-08,7,15,12,0,0,3,3
"Russia",2020-03-08,7,17,15,0,0,3,1
"SanMarino",2020-03-08,7,27,26,1,0,0,0
"SaudiArabia",2020-03-08,7,11,11,0,0,0,0
"Senegal",2020-03-08,7,4,4,0,0,1,1
"Serbia",2020-03-08,7,1,1,0,0,0,0
"Singapore",2020-03-08,7,150,44,0,0,78,6
"Slovakia",2020-03-08,7,3,3,0,0,0,0
"Slovenia",2020-03-08,7,16,16,0,0,0,0
"SouthAfrica",2020-03-08,7,3,3,0,0,0,0
"Spain",2020-03-08,7,673,589,17,17,30,28
"SriLanka",2020-03-08,7,1,0,0,0,1,0
"Sweden",2020-03-08,7,225,211,0,0,0,0
"Switzerland",2020-03-08,7,337,310,2,2,3,3
"Taiwan",2020-03-08,7,45,5,1,0,13,4
"Thailand",2020-03-08,7,50,8,1,0,33,3
"Togo",2020-03-08,7,1,1,0,0,0,0
"Tunisia",2020-03-08,7,2,2,0,0,0,0
"Ukraine",2020-03-08,7,1,1,0,0,0,0
"UnitedArabEmirates",2020-03-08,7,45,24,0,0,7,2
"UnitedKingdom",2020-03-08,7,483,389,2,2,18,10
"US",2020-03-08,7,519,487,21,20,7,0
"Vietnam",2020-03-08,7,30,14,0,0,16,0
"WestBankandGaza",2020-03-08,7,16,16,0,0,0,0
"Afghanistan",2020-03-15,8,20,12,0,0,0,0
"Albania",2020-03-15,8,42,42,1,1,0,0
"Algeria",2020-03-15,8,48,29,4,4,12,12
"Andorra",2020-03-15,8,1,0,0,0,1,1
"AntiguaandBarbuda",2020-03-15,8,1,1,0,0,0,0
"Argentina",2020-03-15,8,45,33,2,1,1,1
"Armenia",2020-03-15,8,26,25,0,0,0,0
"Australia",2020-03-15,8,297,221,3,0,23,2
"Austria",2020-03-15,8,860,756,1,1,6,6
"Azerbaijan",2020-03-15,8,23,14,1,1,6,6
"Bahrain",2020-03-15,8,214,129,0,0,60,56
"Bangladesh",2020-03-15,8,5,2,0,0,0,0
"Belarus",2020-03-15,8,27,21,0,0,3,3
"Belgium",2020-03-15,8,886,686,4,4,1,0
"Bhutan",2020-03-15,8,1,0,0,0,0,0
"Bolivia",2020-03-15,8,10,10,0,0,0,0
"BosniaandHerzegovina",2020-03-15,8,24,21,0,0,0,0
"Brazil",2020-03-15,8,162,142,0,0,0,0
"Brunei",2020-03-15,8,50,50,0,0,0,0
"Bulgaria",2020-03-15,8,51,47,2,2,0,0
"BurkinaFaso",2020-03-15,8,3,3,0,0,0,0
"Cambodia",2020-03-15,8,7,5,0,0,1,0
"Cameroon",2020-03-15,8,2,0,0,0,0,0
"Canada",2020-03-15,8,296,222,1,1,8,0
"CentralAfricanRepublic",2020-03-15,8,1,1,0,0,0,0
"Chile",2020-03-15,8,101,81,0,0,0,0
"China",2020-03-15,8,80848,149,3199,102,66926,9606
"Colombia",2020-03-15,8,34,33,0,0,0,0
"Congo",2020-03-15,8,1,1,0,0,0,0
"CostaRica",2020-03-15,8,27,22,0,0,0,0
"CotedIvoire",2020-03-15,8,1,1,0,0,0,0
"Croatia",2020-03-15,8,49,37,0,0,1,1
"Cuba",2020-03-15,8,4,4,0,0,0,0
"Cyprus",2020-03-15,8,21,21,0,0,0,0
"Czechia",2020-03-15,8,253,222,0,0,0,0
"DemocraticRepublicoftheCongo",2020-03-15,8,2,2,0,0,0,0
"Denmark",2020-03-15,8,875,838,2,2,1,0
"DiamondPrincess",2020-03-15,8,706,0,7,1,325,285
"DominicanRepublic",2020-03-15,8,11,6,0,0,0,0
"Ecuador",2020-03-15,8,28,14,2,2,0,0
"Egypt",2020-03-15,8,110,61,2,1,21,20
"EquatorialGuinea",2020-03-15,8,1,1,0,0,0,0
"Estonia",2020-03-15,8,171,161,0,0,1,1
"Eswatini",2020-03-15,8,1,1,0,0,0,0
"Ethiopia",2020-03-15,8,1,1,0,0,0,0
"Finland",2020-03-15,8,244,221,0,0,10,9
"France",2020-03-15,8,4532,3407,91,72,12,0
"Gabon",2020-03-15,8,1,1,0,0,0,0
"Georgia",2020-03-15,8,33,20,0,0,0,0
"Germany",2020-03-15,8,5795,4755,11,11,46,28
"Ghana",2020-03-15,8,6,6,0,0,0,0
"Greece",2020-03-15,8,331,258,4,4,8,8
"Guatemala",2020-03-15,8,1,1,0,0,0,0
"Guinea",2020-03-15,8,1,1,0,0,0,0
"Guyana",2020-03-15,8,4,4,1,1,0,0
"HolySee",2020-03-15,8,1,0,0,0,0,0
"Honduras",2020-03-15,8,3,3,0,0,0,0
"HongKong",2020-03-15,8,145,31,4,1,81,23
"Hungary",2020-03-15,8,32,25,1,1,1,1
"Iceland",2020-03-15,8,171,121,5,5,8,8
"India",2020-03-15,8,113,74,2,2,13,10
"Indonesia",2020-03-15,8,117,111,5,5,8,8
"Iran",2020-03-15,8,13938,7372,724,530,4590,2456
"Iraq",2020-03-15,8,116,56,10,4,26,26
"Ireland",2020-03-15,8,129,110,2,2,0,0
"Israel",2020-03-15,8,177,121,0,0,1,1
"Italy",2020-03-15,8,24747,17372,1809,1443,2335,1713
"Jamaica",2020-03-15,8,10,10,0,0,0,0
"Japan",2020-03-15,8,826,327,24,16,118,42
"Jordan",2020-03-15,8,8,7,0,0,1,1
"Kazakhstan",2020-03-15,8,9,9,0,0,0,0
"Kenya",2020-03-15,8,3,3,0,0,0,0
"Kosovo",2020-03-15,8,5,5,0,0,0,0
"Kuwait",2020-03-15,8,112,48,0,0,5,4
"Latvia",2020-03-15,8,30,28,0,0,1,1
"Lebanon",2020-03-15,8,110,78,3,3,1,0
"Liechtenstein",2020-03-15,8,11,10,0,0,1,1
"Lithuania",2020-03-15,8,9,8,0,0,1,1
"Luxembourg",2020-03-15,8,59,56,1,1,0,0
"Macao",2020-03-15,8,10,0,0,0,10,0
"Malaysia",2020-03-15,8,428,329,0,0,42,17
"Maldives",2020-03-15,8,13,9,0,0,0,0
"Malta",2020-03-15,8,21,18,0,0,1,1
"Mauritania",2020-03-15,8,1,1,0,0,0,0
"Mexico",2020-03-15,8,53,46,0,0,4,3
"Moldova",2020-03-15,8,23,22,0,0,0,0
"Monaco",2020-03-15,8,2,1,0,0,0,0
"Mongolia",2020-03-15,8,1,1,0,0,0,0
"Morocco",2020-03-15,8,28,26,1,1,1,1
"Namibia",2020-03-15,8,2,2,0,0,0,0
"Nepal",2020-03-15,8,1,0,0,0,1,0
"Netherlands",2020-03-15,8,1138,873,20,17,0,0
"NewZealand",2020-03-15,8,8,3,0,0,0,0
"Nigeria",2020-03-15,8,2,1,0,0,0,0
"NorthMacedonia",2020-03-15,8,14,11,0,0,1,1
"Norway",2020-03-15,8,1221,1045,3,3,1,1
"Oman",2020-03-15,8,22,6,0,0,9,7
"Pakistan",2020-03-15,8,136,130,0,0,2,1
"Panama",2020-03-15,8,43,43,1,1,0,0
"Paraguay",2020-03-15,8,8,7,0,0,0,0
"Peru",2020-03-15,8,43,37,5,3,0,0
"Philippines",2020-03-15,8,140,130,11,10,2,1
"Poland",2020-03-15,8,119,108,3,3,0,0
"Portugal",2020-03-15,8,245,215,0,0,2,2
"Qatar",2020-03-15,8,401,386,0,0,4,4
"RepublicofKorea",2020-03-15,8,8162,848,75,25,510,392
"Romania",2020-03-15,8,131,116,0,0,9,6
"Russia",2020-03-15,8,63,46,0,0,8,5
"Rwanda",2020-03-15,8,1,1,0,0,0,0
"SaintLucia",2020-03-15,8,2,2,0,0,0,0
"SaintVincentandtheGrenadines",2020-03-15,8,1,1,0,0,0,0
"SanMarino",2020-03-15,8,77,50,5,4,4,4
"SaudiArabia",2020-03-15,8,103,92,0,0,1,1
"Senegal",2020-03-15,8,24,20,0,0,1,0
"Serbia",2020-03-15,8,48,47,0,0,0,0
"Seychelles",2020-03-15,8,6,6,0,0,0,0
"Singapore",2020-03-15,8,226,76,0,0,105,27
"Slovakia",2020-03-15,8,44,41,0,0,0,0
"Slovenia",2020-03-15,8,219,203,1,1,0,0
"SouthAfrica",2020-03-15,8,51,48,0,0,0,0
"Spain",2020-03-15,8,7798,7125,289,272,517,487
"SriLanka",2020-03-15,8,18,17,0,0,1,0
"Sudan",2020-03-15,8,1,1,1,1,0,0
"Suriname",2020-03-15,8,1,1,0,0,0,0
"Sweden",2020-03-15,8,1063,838,7,7,0,0
"Switzerland",2020-03-15,8,2200,1863,22,20,4,1
"Taiwan",2020-03-15,8,59,14,1,0,20,7
"Thailand",2020-03-15,8,114,64,1,0,37,4
"Togo",2020-03-15,8,1,0,0,0,0,0
"TrinidadandTobago",2020-03-15,8,2,2,0,0,0,0
"Tunisia",2020-03-15,8,18,16,0,0,0,0
"Turkey",2020-03-15,8,6,6,0,0,0,0
"Ukraine",2020-03-15,8,3,2,1,1,0,0
"UnitedArabEmirates",2020-03-15,8,98,53,0,0,23,16
"UnitedKingdom",2020-03-15,8,3077,2594,43,41,19,1
"Uruguay",2020-03-15,8,8,8,0,0,0,0
"US",2020-03-15,8,3212,2693,70,49,12,5
"Uzbekistan",2020-03-15,8,1,1,0,0,0,0
"Venezuela",2020-03-15,8,10,10,0,0,0,0
"Vietnam",2020-03-15,8,56,26,0,0,16,0
"WestBankandGaza",2020-03-15,8,38,22,0,0,0,0
"Afghanistan",2020-03-22,9,34,14,0,0,1,1
"Albania",2020-03-22,9,89,47,2,1,2,2
"Algeria",2020-03-22,9,201,153,17,13,65,53
"Andorra",2020-03-22,9,113,112,1,1,1,0
"Angola",2020-03-22,9,2,2,0,0,0,0
"AntiguaandBarbuda",2020-03-22,9,1,0,0,0,0,0
"Argentina",2020-03-22,9,266,221,4,2,3,2
"Armenia",2020-03-22,9,194,168,0,0,2,2
"Australia",2020-03-22,9,1549,1252,7,4,88,65
"Austria",2020-03-22,9,3582,2722,16,15,9,3
"Azerbaijan",2020-03-22,9,65,42,1,0,10,4
"Bahamas",2020-03-22,9,4,4,0,0,0,0
"Bahrain",2020-03-22,9,334,120,2,2,149,89
"Bangladesh",2020-03-22,9,27,22,2,2,3,3
"Barbados",2020-03-22,9,14,14,0,0,0,0
"Belarus",2020-03-22,9,76,49,0,0,15,12
"Belgium",2020-03-22,9,3401,2515,75,71,263,262
"Benin",2020-03-22,9,2,2,0,0,0,0
"Bhutan",2020-03-22,9,2,1,0,0,0,0
"Bolivia",2020-03-22,9,24,14,0,0,0,0
"BosniaandHerzegovina",2020-03-22,9,126,102,1,1,2,2
"Brazil",2020-03-22,9,1546,1384,25,25,2,2
"Brunei",2020-03-22,9,88,38,0,0,2,2
"Bulgaria",2020-03-22,9,187,136,3,1,3,3
"BurkinaFaso",2020-03-22,9,75,72,4,4,5,5
"Cambodia",2020-03-22,9,84,77,0,0,1,0
"Cameroon",2020-03-22,9,40,38,0,0,0,0
"Canada",2020-03-22,9,2045,1749,22,21,10,2
"CapeVerde",2020-03-22,9,3,3,0,0,0,0
"CentralAfricanRepublic",2020-03-22,9,3,2,0,0,0,0
"Chad",2020-03-22,9,1,1,0,0,0,0
"Chile",2020-03-22,9,687,586,1,1,8,8
"China",2020-03-22,9,81094,246,3270,71,72252,5326
"Colombia",2020-03-22,9,231,197,2,2,3,3
"Congo",2020-03-22,9,3,2,0,0,0,0
"CostaRica",2020-03-22,9,134,107,2,2,2,2
"CotedIvoire",2020-03-22,9,14,13,0,0,1,1
"Croatia",2020-03-22,9,254,205,1,1,5,4
"Cuba",2020-03-22,9,35,31,1,1,0,0
"Cyprus",2020-03-22,9,84,63,0,0,3,3
"Czechia",2020-03-22,9,1120,867,1,1,6,6
"DemocraticRepublicoftheCongo",2020-03-22,9,30,28,1,1,0,0
"Denmark",2020-03-22,9,1514,639,13,11,1,0
"DiamondPrincess",2020-03-22,9,712,6,8,1,325,0
"Djibouti",2020-03-22,9,1,1,0,0,0,0
"Dominica",2020-03-22,9,1,1,0,0,0,0
"DominicanRepublic",2020-03-22,9,202,191,3,3,0,0
"Ecuador",2020-03-22,9,789,761,14,12,3,3
"Egypt",2020-03-22,9,327,217,14,12,56,35
"ElSalvador",2020-03-22,9,3,3,0,0,0,0
"EquatorialGuinea",2020-03-22,9,6,5,0,0,0,0
"Eritrea",2020-03-22,9,1,1,0,0,0,0
"Estonia",2020-03-22,9,326,155,0,0,2,1
"Eswatini",2020-03-22,9,4,3,0,0,0,0
"Ethiopia",2020-03-22,9,11,10,0,0,4,4
"Fiji",2020-03-22,9,2,2,0,0,0,0
