"Country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered"
"India",2020-02-29,2,3,2,0,0,3,3
"Iran",2020-02-29,2,593,593,43,43,123,123
"Iraq",2020-02-29,2,13,13,0,0,0,0
"Ireland",2020-02-29,2,1,1,0,0,0,0
"Israel",2020-02-29,2,6,6,0,0,0,0
"Italy",2020-02-29,2,1128,1126,29,29,46,46
"Japan",2020-02-29,2,245,230,6,6,32,31
"Kuwait",2020-02-29,2,45,45,0,0,0,0
"Lebanon",2020-02-29,2,4,4,0,0,0,0
"Lithuania",2020-02-29,2,1,1,0,0,0,0
"Luxembourg",2020-02-29,2,1,1,0,0,0,0
"Macao",2020-02-29,2,10,3,0,0,8,8
"Malaysia",2020-02-29,2,29,21,0,0,22,22
"Mexico",2020-02-29,2,4,4,0,0,0,0
"Monaco",2020-02-29,2,1,1,0,0,0,0
"Nepal",2020-02-29,2,1,0,0,0,1,1
"Netherlands",2020-02-29,2,6,6,0,0,0,0
"NewZealand",2020-02-29,2,1,1,0,0,0,0
"Nigeria",2020-02-29,2,1,1,0,0,0,0
"NorthMacedonia",2020-02-29,2,1,1,0,0,0,0
"Norway",2020-02-29,2,15,15,0,0,0,0
"Oman",2020-02-29,2,6,6,0,0,1,1
"Pakistan",2020-02-29,2,4,4,0,0,0,0
"Philippines",2020-02-29,2,3,2,1,1,1,1
"Qatar",2020-02-29,2,1,1,0,0,0,0
"RepublicofKorea",2020-02-29,2,3150,3139,16,16,27,27
"Romania",2020-02-29,2,3,3,0,0,0,0
"Russia",2020-02-29,2,2,0,0,0,2,2
"SanMarino",2020-02-29,2,1,1,1,1,0,0
"Singapore",2020-02-29,2,102,89,0,0,72,72
"Spain",2020-02-29,2,45,45,0,0,2,2
"SriLanka",2020-02-29,2,1,0,0,0,1,1
"Sweden",2020-02-29,2,14,14,0,0,0,0
"Switzerland",2020-02-29,2,18,18,0,0,0,0
"Taiwan",2020-02-29,2,39,29,1,1,9,9
"Thailand",2020-02-29,2,42,23,0,0,28,20
"UnitedArabEmirates",2020-02-29,2,21,17,0,0,5,5
"UnitedKingdom",2020-02-29,2,61,59,0,0,8,8
"US",2020-02-29,2,25,17,1,1,7,7
"Vietnam",2020-02-29,2,16,14,0,0,16,16
"Afghanistan",2020-03-31,3,166,161,4,4,5,5
"Albania",2020-03-31,3,243,243,15,15,52,52
"Algeria",2020-03-31,3,716,715,44,44,46,46
"Andorra",2020-03-31,3,376,376,12,12,10,10
"Angola",2020-03-31,3,7,7,2,2,1,1
"AntiguaandBarbuda",2020-03-31,3,7,7,0,0,0,0
"Argentina",2020-03-31,3,1054,1054,27,27,240,240
"Armenia",2020-03-31,3,532,532,3,3,30,30
"Australia",2020-03-31,3,4559,4534,18,18,358,347
"Austria",2020-03-31,3,10180,10171,128,128,1095,1095
"Azerbaijan",2020-03-31,3,298,298,5,5,26,26
"Bahamas",2020-03-31,3,14,14,0,0,1,1
"Bahrain",2020-03-31,3,567,526,4,4,295,295
"Bangladesh",2020-03-31,3,51,51,5,5,25,25
"Barbados",2020-03-31,3,34,34,0,0,0,0
"Belarus",2020-03-31,3,152,151,1,1,47,47
"Belgium",2020-03-31,3,12775,12774,705,705,1696,1695
"Belize",2020-03-31,3,3,3,0,0,0,0
"Benin",2020-03-31,3,9,9,0,0,1,1
"Bhutan",2020-03-31,3,4,4,0,0,0,0
"Bolivia",2020-03-31,3,107,107,6,6,0,0
"BosniaandHerzegovina",2020-03-31,3,420,420,13,13,17,17
"Botswana",2020-03-31,3,4,4,1,1,0,0
"Brazil",2020-03-31,3,5717,5715,201,201,127,127
"Brunei",2020-03-31,3,129,129,1,1,45,45
"Bulgaria",2020-03-31,3,399,399,8,8,17,17
"BurkinaFaso",2020-03-31,3,261,261,14,14,32,32
"Burma",2020-03-31,3,15,15,1,1,0,0
"Burundi",2020-03-31,3,2,2,0,0,0,0
"Cambodia",2020-03-31,3,109,108,0,0,23,22
"Cameroon",2020-03-31,3,193,193,6,6,5,5
"Canada",2020-03-31,3,9246,9225,152,152,1592,1586
"CapeVerde",2020-03-31,3,6,6,1,1,0,0
"CentralAfricanRepublic",2020-03-31,3,3,3,0,0,0,0
"Chad",2020-03-31,3,7,7,0,0,0,0
"Chile",2020-03-31,3,2844,2842,12,12,156,156
"China",2020-03-31,3,81524,2273,3305,470,76068,36789
"Colombia",2020-03-31,3,906,906,16,16,31,31
"Congo",2020-03-31,3,19,19,0,0,0,0
"CostaRica",2020-03-31,3,347,347,2,2,4,4
"CotedIvoire",2020-03-31,3,179,179,1,1,7,7
"Croatia",2020-03-31,3,867,861,6,6,67,67
"Cuba",2020-03-31,3,186,186,6,6,8,8
"Cyprus",2020-03-31,3,230,230,7,7,23,23
"Czechia",2020-03-31,3,3308,3308,31,31,45,45
"DemocraticRepublicoftheCongo",2020-03-31,3,98,98,8,8,2,2
"Denmark",2020-03-31,3,3039,3036,90,90,77,77
"DiamondPrincess",2020-03-31,3,712,7,10,4,603,593
"Djibouti",2020-03-31,3,30,30,0,0,0,0
"Dominica",2020-03-31,3,12,12,0,0,0,0
"DominicanRepublic",2020-03-31,3,1109,1109,51,51,5,5
"Ecuador",2020-03-31,3,2240,2240,75,75,54,54
"Egypt",2020-03-31,3,710,709,46,46,157,156
"ElSalvador",2020-03-31,3,32,32,1,1,0,0
"EquatorialGuinea",2020-03-31,3,12,12,0,0,1,1
"Eritrea",2020-03-31,3,15,15,0,0,0,0
"Estonia",2020-03-31,3,745,744,4,4,26,26
"Eswatini",2020-03-31,3,9,9,0,0,0,0
"Ethiopia",2020-03-31,3,26,26,0,0,2,2
"Fiji",2020-03-31,3,5,5,0,0,0,0
"Finland",2020-03-31,3,1418,1415,17,17,10,9
"France",2020-03-31,3,52281,52181,3526,3524,9513,9501
"Gabon",2020-03-31,3,16,16,1,1,0,0
"Gambia",2020-03-31,3,4,4,1,1,0,0
"Georgia",2020-03-31,3,110,109,0,0,21,21
"Germany",2020-03-31,3,71808,71729,775,775,16100,16084
"Ghana",2020-03-31,3,161,161,5,5,31,31
"Greece",2020-03-31,3,1156,1152,38,38,52,52
"Grenada",2020-03-31,3,9,9,0,0,0,0
"Guatemala",2020-03-31,3,38,38,1,1,12,12
"Guinea",2020-03-31,3,22,22,0,0,0,0
"GuineaBissau",2020-03-31,3,8,8,0,0,0,0
"Guyana",2020-03-31,3,12,12,2,2,0,0
"Haiti",2020-03-31,3,15,15,0,0,1,1
"HolySee",2020-03-31,3,6,6,0,0,0,0
"Honduras",2020-03-31,3,141,141,7,7,3,3
"HongKong",2020-03-31,3,714,619,4,2,128,95
"Hungary",2020-03-31,3,492,492,16,16,37,37
"Iceland",2020-03-31,3,1135,1134,2,2,198,198
"India",2020-03-31,3,1397,1394,35,35,123,120
"Indonesia",2020-03-31,3,1528,1528,136,136,81,81
"Iran",2020-03-31,3,44605,44012,2898,2855,14656,14533
"Iraq",2020-03-31,3,694,681,50,50,170,170
"Ireland",2020-03-31,3,3235,3234,71,71,5,5
"Israel",2020-03-31,3,5717,5711,21,21,210,210
"Italy",2020-03-31,3,105792,104664,12428,12399,15729,15683
"Jamaica",2020-03-31,3,36,36,1,1,2,2
"Japan",2020-03-31,3,2255,2010,67,61,424,392
"Jordan",2020-03-31,3,274,274,5,5,30,30
"Kazakhstan",2020-03-31,3,343,343,2,2,24,24
"Kenya",2020-03-31,3,59,59,1,1,1,1
"Kosovo",2020-03-31,3,106,106,1,1,1,1
"Kuwait",2020-03-31,3,289,244,0,0,73,73
"Kyrgyzstan",2020-03-31,3,107,107,0,0,3,3
"Laos",2020-03-31,3,9,9,0,0,0,0
"Latvia",2020-03-31,3,398,398,0,0,1,1
"Lebanon",2020-03-31,3,470,466,12,12,37,37
"Liberia",2020-03-31,3,3,3,0,0,0,0
"Libya",2020-03-31,3,10,10,0,0,1,1
"Liechtenstein",2020-03-31,3,69,69,0,0,44,44
"Lithuania",2020-03-31,3,468,467,4,4,0,0
"Luxembourg",2020-03-31,3,2178,2177,23,23,80,80
"Macao",2020-03-31,3,41,31,0,0,10,2
"Madagascar",2020-03-31,3,57,57,0,0,0,0
"Malaysia",2020-03-31,3,2766,2737,48,48,536,514
"Maldives",2020-03-31,3,18,18,0,0,13,13
"Mali",2020-03-31,3,28,28,2,2,0,0
"Malta",2020-03-31,3,169,169,0,0,2,2
"Mauritania",2020-03-31,3,6,6,1,1,2,2
"Mauritius",2020-03-31,3,143,143,5,5,0,0
"Mexico",2020-03-31,3,1215,1211,29,29,35,35
"Moldova",2020-03-31,3,353,353,4,4,18,18
"Monaco",2020-03-31,3,52,51,1,1,2,2
"Mongolia",2020-03-31,3,12,12,0,0,2,2
"Montenegro",2020-03-31,3,109,109,2,2,0,0
"Morocco",2020-03-31,3,617,617,36,36,24,24
"Mozambique",2020-03-31,3,8,8,0,0,0,0
"MSZaandam",2020-03-31,3,2,2,0,0,0,0
"Namibia",2020-03-31,3,11,11,0,0,2,2
"Nepal",2020-03-31,3,5,4,0,0,1,0
"Netherlands",2020-03-31,3,12667,12661,1040,1040,3,3
"NewZealand",2020-03-31,3,647,646,1,1,74,74
"Nicaragua",2020-03-31,3,5,5,1,1,0,0
"Niger",2020-03-31,3,27,27,3,3,0,0
"Nigeria",2020-03-31,3,135,134,2,2,8,8
"NorthMacedonia",2020-03-31,3,329,328,9,9,12,12
"Norway",2020-03-31,3,4641,4626,39,39,13,13
"Oman",2020-03-31,3,192,186,1,1,34,33
"Pakistan",2020-03-31,3,2118,2114,27,27,94,94
"Panama",2020-03-31,3,1181,1181,30,30,9,9
"PapuaNewGuinea",2020-03-31,3,1,1,0,0,0,0
"Paraguay",2020-03-31,3,69,69,3,3,1,1
"Peru",2020-03-31,3,1065,1065,138,138,394,394
"Philippines",2020-03-31,3,2084,2081,88,87,49,48
"Poland",2020-03-31,3,2311,2311,33,33,7,7
"Portugal",2020-03-31,3,7443,7443,160,160,43,43
"Qatar",2020-03-31,3,781,780,2,2,62,62
"RepublicofKorea",2020-03-31,3,9786,6636,162,146,5408,5381
"Romania",2020-03-31,3,2245,2242,82,82,220,220
"Russia",2020-03-31,3,2337,2335,17,17,121,119
"Rwanda",2020-03-31,3,75,75,0,0,0,0
"SaintKittsandNevis",2020-03-31,3,8,8,0,0,0,0
"SaintLucia",2020-03-31,3,13,13,0,0,1,1
"SaintVincentandtheGrenadines",2020-03-31,3,1,1,0,0,1,1
"SanMarino",2020-03-31,3,236,235,26,25,13,13
"SaudiArabia",2020-03-31,3,1563,1563,10,10,165,165
"Senegal",2020-03-31,3,175,175,0,0,40,40
"Serbia",2020-03-31,3,900,900,16,16,0,0
"Seychelles",2020-03-31,3,8,8,0,0,0,0
"SierraLeone",2020-03-31,3,1,1,0,0,0,0
"Singapore",2020-03-31,3,926,824,3,3,240,168
"Slovakia",2020-03-31,3,363,363,0,0,3,3
"Slovenia",2020-03-31,3,802,802,15,15,10,10
"Somalia",2020-03-31,3,5,5,0,0,1,1
"SouthAfrica",2020-03-31,3,1353,1353,5,5,31,31
"Spain",2020-03-31,3,95923,95878,8464,8464,19259,19257
"SriLanka",2020-03-31,3,143,142,2,2,17,16
"Sudan",2020-03-31,3,7,7,2,2,1,1
"Suriname",2020-03-31,3,9,9,0,0,0,0
"Sweden",2020-03-31,3,4834,4820,385,385,0,0
"Switzerland",2020-03-31,3,16605,16587,485,485,1823,1823
"Syria",2020-03-31,3,10,10,2,2,0,0
"Taiwan",2020-03-31,3,322,283,5,4,39,30
"Tanzania",2020-03-31,3,19,19,1,1,1,1
"Thailand",2020-03-31,3,1651,1609,10,10,342,314
"TimorLeste",2020-03-31,3,1,1,0,0,0,0
"Togo",2020-03-31,3,34,34,1,1,10,10
"TrinidadandTobago",2020-03-31,3,87,87,3,3,1,1
"Tunisia",2020-03-31,3,394,394,10,10,3,3
"Turkey",2020-03-31,3,13531,13531,214,214,243,243
"Uganda",2020-03-31,3,44,44,0,0,0,0
"Ukraine",2020-03-31,3,645,645,17,17,10,10
"UnitedArabEmirates",2020-03-31,3,664,643,6,6,61,56
"UnitedKingdom",2020-03-31,3,38815,38754,2457,2457,179,171
"Uruguay",2020-03-31,3,338,338,1,1,41,41
"US",2020-03-31,3,192079,192054,5359,5358,7024,7017
"Uzbekistan",2020-03-31,3,172,172,2,2,7,7
"Venezuela",2020-03-31,3,135,135,3,3,39,39
"Vietnam",2020-03-31,3,212,196,0,0,58,42
"WestBankandGaza",2020-03-31,3,119,119,1,1,18,18
"Zambia",2020-03-31,3,35,35,0,0,0,0
"Zimbabwe",2020-03-31,3,8,8,1,1,0,0
"Afghanistan",2020-04-30,4,1827,1661,60,56,260,255
"Albania",2020-04-30,4,773,530,31,16,470,418
"Algeria",2020-04-30,4,4006,3290,450,406,1779,1733
"Andorra",2020-04-30,4,745,369,42,30,468,458
"Angola",2020-04-30,4,27,20,2,0,7,6
"AntiguaandBarbuda",2020-04-30,4,24,17,3,3,11,11
"Argentina",2020-04-30,4,4428,3374,218,191,1256,1016
"Armenia",2020-04-30,4,2066,1534,32,29,929,899
"Australia",2020-04-30,4,6766,2207,93,75,5742,5384
"Austria",2020-04-30,4,15452,5272,584,456,12907,11812
"Azerbaijan",2020-04-30,4,1804,1506,24,19,1325,1299
"Bahamas",2020-04-30,4,81,67,11,11,25,24
"Bahrain",2020-04-30,4,3040,2473,8,4,1500,1205
"Bangladesh",2020-04-30,4,7667,7616,168,163,160,135
"Barbados",2020-04-30,4,81,47,7,7,39,39
"Belarus",2020-04-30,4,14027,13875,89,88,2386,2339
"Belgium",2020-04-30,4,48519,35744,7594,6889,11576,9880
"Belize",2020-04-30,4,18,15,2,2,9,9
"Benin",2020-04-30,4,64,55,1,1,33,32
"Bhutan",2020-04-30,4,7,3,0,0,5,5
"Bolivia",2020-04-30,4,1167,1060,62,56,132,132
"BosniaandHerzegovina",2020-04-30,4,1757,1337,69,56,727,710
"Botswana",2020-04-30,4,23,19,1,0,5,5
"Brazil",2020-04-30,4,87187,81470,6006,5805,35935,35808
"Brunei",2020-04-30,4,138,9,1,0,124,79
"Bulgaria",2020-04-30,4,1506,1107,66,58,266,249
"BurkinaFaso",2020-04-30,4,645,384,43,29,506,474
"Burma",2020-04-30,4,151,136,6,5,27,27
"Burundi",2020-04-30,4,11,9,1,1,4,4
"Cambodia",2020-04-30,4,122,13,0,0,119,96
"Cameroon",2020-04-30,4,1832,1639,61,55,934,929
"Canada",2020-04-30,4,56716,47470,4179,4027,21424,19832
"CapeVerde",2020-04-30,4,121,115,1,0,4,4
"CentralAfricanRepublic",2020-04-30,4,50,47,0,0,10,10
"Chad",2020-04-30,4,73,66,5,5,33,33
"Chile",2020-04-30,4,17702,14858,227,215,8580,8424
"China",2020-04-30,4,82874,1350,4633,1328,77642,1574
"Colombia",2020-04-30,4,6507,5601,293,277,1439,1408
"Comoros",2020-04-30,4,1,1,0,0,0,0
"Congo",2020-04-30,4,220,201,9,9,19,19
"CostaRica",2020-04-30,4,719,372,6,4,338,334
"CotedIvoire",2020-04-30,4,1275,1096,14,13,574,567
"Croatia",2020-04-30,4,2076,1209,69,63,1348,1281
"Cuba",2020-04-30,4,1501,1315,61,55,681,673
"Cyprus",2020-04-30,4,843,613,15,8,296,273
"Czechia",2020-04-30,4,7682,4374,236,205,3314,3269
"DemocraticRepublicoftheCongo",2020-04-30,4,572,474,31,23,73,71
"Denmark",2020-04-30,4,9356,6317,452,362,6741,6664
"DiamondPrincess",2020-04-30,4,712,0,13,3,645,42
"Djibouti",2020-04-30,4,1089,1059,2,2,642,642
"Dominica",2020-04-30,4,16,4,0,0,13,13
"DominicanRepublic",2020-04-30,4,6972,5863,301,250,1301,1296
"Ecuador",2020-04-30,4,24934,22694,900,825,1558,1504
"Egypt",2020-04-30,4,5537,4827,392,346,1381,1224
"ElSalvador",2020-04-30,4,395,363,10,9,119,119
"EquatorialGuinea",2020-04-30,4,315,303,1,1,9,8
"Eritrea",2020-04-30,4,39,24,0,0,26,26
"Estonia",2020-04-30,4,1689,944,52,48,249,223
"Eswatini",2020-04-30,4,100,91,1,1,12,12
"Ethiopia",2020-04-30,4,131,105,3,3,59,57
"Fiji",2020-04-30,4,18,13,0,0,12,12
"Finland",2020-04-30,4,4995,3577,211,194,3000,2990
"France",2020-04-30,4,168861,116580,24349,20823,49476,39963
"Gabon",2020-04-30,4,276,260,3,2,67,67
"Gambia",2020-04-30,4,11,7,1,0,8,8
"Georgia",2020-04-30,4,539,429,6,6,184,163
"Germany",2020-04-30,4,163009,91201,6623,5848,123500,107400
"Ghana",2020-04-30,4,2074,1913,17,12,212,181
"Greece",2020-04-30,4,2591,1435,140,102,1374,1322
"Grenada",2020-04-30,4,20,11,0,0,13,13
"Guatemala",2020-04-30,4,599,561,16,15,66,54
"Guinea",2020-04-30,4,1495,1473,7,7,329,329
"GuineaBissau",2020-04-30,4,205,197,1,1,19,19
"Guyana",2020-04-30,4,82,70,9,7,22,22
"Haiti",2020-04-30,4,76,61,6,6,8,7
"HolySee",2020-04-30,4,11,5,0,0,2,2
"Honduras",2020-04-30,4,771,630,71,64,79,76
"HongKong",2020-04-30,4,1037,323,4,0,846,718
"Hungary",2020-04-30,4,2775,2283,312,296,581,544
"Iceland",2020-04-30,4,1797,662,10,8,1670,1472
"India",2020-04-30,4,34863,33466,1154,1119,9068,8945
"Indonesia",2020-04-30,4,10118,8590,792,656,1522,1441
"Iran",2020-04-30,4,94640,50035,6028,3130,75103,60447
"Iraq",2020-04-30,4,2085,1391,93,43,1375,1205
"Ireland",2020-04-30,4,20612,17377,1232,1161,13386,13381
"Israel",2020-04-30,4,15896,10179,225,204,8924,8714
"Italy",2020-04-30,4,205463,99671,27967,15539,75945,60216
"Jamaica",2020-04-30,4,422,386,8,7,29,27
"Japan",2020-04-30,4,14284,12029,481,414,2460,2036
"Jordan",2020-04-30,4,453,179,8,3,362,332
"Kazakhstan",2020-04-30,4,3402,3059,25,23,866,842
"Kenya",2020-04-30,4,396,337,17,16,144,143
"Kosovo",2020-04-30,4,799,693,22,21,249,248
"Kuwait",2020-04-30,4,4024,3735,26,26,1539,1466
"Kyrgyzstan",2020-04-30,4,746,639,8,8,462,459
"Laos",2020-04-30,4,19,10,0,0,8,8
"Latvia",2020-04-30,4,858,460,15,15,348,347
"Lebanon",2020-04-30,4,725,255,24,12,150,113
"Liberia",2020-04-30,4,141,138,16,16,45,45
"Libya",2020-04-30,4,61,51,3,3,18,17
"Liechtenstein",2020-04-30,4,83,14,1,1,80,36
"Lithuania",2020-04-30,4,1375,907,32,28,577,577
"Luxembourg",2020-04-30,4,3784,1606,90,67,3213,3133
"Macao",2020-04-30,4,45,4,0,0,35,25
"Madagascar",2020-04-30,4,128,71,0,0,92,92
"Malawi",2020-04-30,4,37,37,3,3,7,7
"Malaysia",2020-04-30,4,6002,3236,103,55,4170,3634
"Maldives",2020-04-30,4,468,450,1,1,17,4
"Mali",2020-04-30,4,490,462,26,24,135,135
"Malta",2020-04-30,4,465,296,4,4,351,349
"Mauritania",2020-04-30,4,8,2,1,0,6,4
"Mauritius",2020-04-30,4,332,189,10,5,310,310
"Mexico",2020-04-30,4,19224,18009,1859,1830,11423,11388
"Moldova",2020-04-30,4,3897,3544,116,112,1182,1164
"Monaco",2020-04-30,4,95,43,4,3,64,62
"Mongolia",2020-04-30,4,38,26,0,0,10,8
"Montenegro",2020-04-30,4,322,213,7,5,214,214
"Morocco",2020-04-30,4,4423,3806,170,134,984,960
"Mozambique",2020-04-30,4,76,68,0,0,12,12
"MSZaandam",2020-04-30,4,9,7,2,2,0,0
"Namibia",2020-04-30,4,16,5,0,0,8,6
"Nepal",2020-04-30,4,57,52,0,0,16,15
"Netherlands",2020-04-30,4,39512,26845,4811,3771,125,122
"NewZealand",2020-04-30,4,1479,832,19,18,1252,1178
"Nicaragua",2020-04-30,4,14,9,3,2,7,7
"Niger",2020-04-30,4,719,692,32,29,452,452
"Nigeria",2020-04-30,4,1932,1797,58,56,319,311
"NorthMacedonia",2020-04-30,4,1465,1136,77,68,738,726
"Norway",2020-04-30,4,7738,3097,210,171,32,19
"Oman",2020-04-30,4,2348,2156,11,10,495,461
"Pakistan",2020-04-30,4,18114,15996,417,390,4715,4621
"Panama",2020-04-30,4,6532,5351,188,158,576,567
"PapuaNewGuinea",2020-04-30,4,8,7,0,0,0,0
"Paraguay",2020-04-30,4,266,197,10,7,113,112
"Peru",2020-04-30,4,36976,35911,4782,4644,10405,10011
"Philippines",2020-04-30,4,8488,6404,568,480,1043,994
"Poland",2020-04-30,4,12877,10566,644,611,3236,3229
"Portugal",2020-04-30,4,25045,17602,989,829,1519,1476
"Qatar",2020-04-30,4,13409,12628,10,8,1372,1310
"RepublicofKorea",2020-04-30,4,10774,988,248,86,9072,3664
"Romania",2020-04-30,4,12240,9995,717,635,4017,3797
"Russia",2020-04-30,4,106498,104161,1073,1056,11619,11498
"Rwanda",2020-04-30,4,243,168,0,0,104,104
"SaintKittsandNevis",2020-04-30,4,15,7,0,0,6,6
"SaintLucia",2020-04-30,4,17,4,0,0,15,14
"SaintVincentandtheGrenadines",2020-04-30,4,16,15,0,0,8,7
"SanMarino",2020-04-30,4,563,327,41,15,78,65
"SaoTomeandPrincipe",2020-04-30,4,14,14,0,0,4,4
"SaudiArabia",2020-04-30,4,22753,21190,162,152,3163,2998
"Senegal",2020-04-30,4,933,758,9,9,334,294
"Serbia",2020-04-30,4,9009,8109,179,163,1343,1343
"Seychelles",2020-04-30,4,11,3,0,0,6,6
"SierraLeone",2020-04-30,4,124,123,7,7,21,21
"Singapore",2020-04-30,4,16169,15243,15,12,1244,1004
"Slovakia",2020-04-30,4,1396,1033,23,23,524,521
"Slovenia",2020-04-30,4,1429,627,91,76,233,223
"Somalia",2020-04-30,4,601,596,28,28,31,30
"SouthAfrica",2020-04-30,4,5647,4294,103,98,2073,2042
"SouthSudan",2020-04-30,4,35,35,0,0,0,0
"Spain",2020-04-30,4,213435,117512,24543,16079,112050,92791
"SriLanka",2020-04-30,4,663,520,7,5,154,137
"Sudan",2020-04-30,4,375,368,31,29,39,38
"Suriname",2020-04-30,4,10,1,1,1,8,8
"Sweden",2020-04-30,4,21601,16767,2586,2201,0,0
"Switzerland",2020-04-30,4,29586,12981,1665,1180,23400,21577
"Syria",2020-04-30,4,43,33,3,1,21,21
"Taiwan",2020-04-30,4,429,107,6,1,322,283
"Tanzania",2020-04-30,4,480,461,16,15,167,166
"Thailand",2020-04-30,4,2954,1303,54,44,2687,2345
"TimorLeste",2020-04-30,4,24,23,0,0,16,16
"Togo",2020-04-30,4,116,82,9,8,65,55
"TrinidadandTobago",2020-04-30,4,116,29,8,5,72,71
"Tunisia",2020-04-30,4,994,600,41,31,305,302
"Turkey",2020-04-30,4,120204,106673,3174,2960,48886,48643
"Uganda",2020-04-30,4,83,39,0,0,52,52
"Ukraine",2020-04-30,4,10406,9761,261,244,1238,1228
"UnitedArabEmirates",2020-04-30,4,12481,11817,105,99,2429,2368
"UnitedKingdom",2020-04-30,4,178771,139956,26754,24297,859,680
"Uruguay",2020-04-30,4,643,305,17,16,417,376
"US",2020-04-30,4,1080974,888895,66154,60795,153947,146923
"Uzbekistan",2020-04-30,4,2039,1867,9,7,1133,1126
"Venezuela",2020-04-30,4,333,198,16,13,142,103
"Vietnam",2020-04-30,4,270,58,0,0,219,161
"WestBankandGaza",2020-04-30,4,344,225,2,1,76,58
"Yemen",2020-04-30,4,6,6,2,2,1,1
"Zambia",2020-04-30,4,106,71,3,3,55,55
"Zimbabwe",2020-04-30,4,40,32,4,3,5,5
"Afghanistan",2020-05-31,5,15180,13353,254,194,1328,1068
"Albania",2020-05-31,5,1137,364,33,2,872,402
"Algeria",2020-05-31,5,9394,5388,653,203,5748,3969
"Andorra",2020-05-31,5,764,19,51,9,694,226
"Angola",2020-05-31,5,86,59,4,2,18,11
"AntiguaandBarbuda",2020-05-31,5,26,2,3,0,19,8
"Argentina",2020-05-31,5,16851,12423,539,321,5336,4080
"Armenia",2020-05-31,5,9282,7216,131,99,3386,2457
"Australia",2020-05-31,5,7202,436,103,10,6618,876
"Austria",2020-05-31,5,16731,1279,668,84,15593,2686
"Azerbaijan",2020-05-31,5,5494,3690,63,39,3428,2103
"Bahamas",2020-05-31,5,102,21,11,0,48,23
"Bahrain",2020-05-31,5,11398,8358,19,11,6673,5173
"Bangladesh",2020-05-31,5,47153,39486,650,482,9781,9621
"Barbados",2020-05-31,5,92,11,7,0,76,37
"Belarus",2020-05-31,5,42556,28529,235,146,18514,16128
"Belgium",2020-05-31,5,58381,9862,9467,1873,15887,4311
"Belize",2020-05-31,5,18,0,2,0,16,7
"Benin",2020-05-31,5,232,168,3,2,143,110
"Bhutan",2020-05-31,5,43,36,0,0,6,1
"Bolivia",2020-05-31,5,9982,8815,313,251,968,836
"BosniaandHerzegovina",2020-05-31,5,2510,753,153,84,1862,1135
"Botswana",2020-05-31,5,35,12,1,0,20,15
"Brazil",2020-05-31,5,516137,428950,29367,23361,206555,170620
"Brunei",2020-05-31,5,141,3,2,1,138,14
